song,artist,hip_hop_rnb,genre
(If You're Not in It for Love) I'm Outta Here!,Shania Twain,0,Country / Rock
(This Ain't) No Thinkin' Thing,Trace Adkins,0,Country / Rock
1 Thing,Amerie,1,Hip Hop / RnB
"10,000 Hours",Dan + Shay and Justin Bieber,0,Country / Rock
1000hp,Godsmack,0,Country / Rock
16,Highly Suspect,0,Country / Rock
19 Somethin',Mark Wills,0,Country / Rock
21 Questions,50 Cent ,1,Hip Hop / RnB
5-1-5-0,Dierks Bentley,0,Country / Rock
7/11,Beyoncé,1,Hip Hop / RnB
911 Is a Joke,Public Enemy,1,Hip Hop / RnB
A Better Man,Clint Black,0,Country / Rock
A Broken Wing,Martina McBride,0,Country / Rock
A Good Run of Bad Luck,Clint Black,0,Country / Rock
A Guy Walks Into a Bar,Tyler Farr,0,Country / Rock
A Guy with a Girl,Blake Shelton,0,Country / Rock
A Jukebox with a Country Song,Doug Stone,0,Country / Rock
A Little Bit Stronger,Sara Evans,0,Country / Rock
A Little More Country Than That,Easton Corbin,0,Country / Rock
A Man This Lonely,Brooks & Dunn,0,Country / Rock
A Milli,Lil Wayne,1,Hip Hop / RnB
A Real Fine Place to Start,Sara Evans,0,Country / Rock
A Reason to Fight,Disturbed,0,Country / Rock
A Song for Mama,Boyz II Men,1,Hip Hop / RnB
A Woman in Love,Ronnie Milsap,0,Country / Rock
A Woman Like You,Lee Brice,0,Country / Rock
Above and Beyond,Rodney Crowell,0,Country / Rock
Ace in the Hole,George Strait,0,Country / Rock
Achy Breaky Heart,Billy Ray Cyrus,0,Country / Rock
Addicted to You,LeVert,1,Hip Hop / RnB
Addictive Love,BeBe & CeCe Winans,1,Hip Hop / RnB
Adorn,Miguel,1,Hip Hop / RnB
Aerials,System of a Down,0,Country / Rock
After All This Time,Rodney Crowell,0,Country / Rock
Ain't Goin' Down ('Til the Sun Comes Up),Garth Brooks,0,Country / Rock
Ain't Nobody Like You,Miki Howard,1,Hip Hop / RnB
Ain't Nothing 'bout You,Brooks & Dunn,0,Country / Rock
Ain't Nuthin' in the World,Miki Howard,1,Hip Hop / RnB
Ain't Worth the Whiskey,Cole Swindell,0,Country / Rock
Air Force Ones,Nelly ,1,Hip Hop / RnB
Alibis,Tracy Lawrence,0,Country / Rock
All-American Girl,Carrie Underwood,0,Country / Rock
All About Tonight,Blake Shelton,0,Country / Rock
All Around the World,Lisa Stansfield,1,Hip Hop / RnB
All Eyes On You,Meek Mill ,1,Hip Hop / RnB
All for You,Janet,1,Hip Hop / RnB
All I Do Is Think of You,Troop,1,Hip Hop / RnB
All I Want to Do,Sugarland,0,Country / Rock
All My Life,K-Ci & JoJo,1,Hip Hop / RnB
All of Me,John Legend,1,Hip Hop / RnB
All of My Love,The Gap Band,1,Hip Hop / RnB
All Over Me,Josh Turner,0,Country / Rock
All the Man That I Need,Whitney Houston,1,Hip Hop / RnB
All the Pretty Girls,Kenny Chesney,0,Country / Rock
All to Myself,Dan + Shay,0,Country / Rock
All Woman,Lisa Stansfield,1,Hip Hop / RnB
All Your Life,The Band Perry,0,Country / Rock
Almost Goodbye,Mark Chesnutt,0,Country / Rock
Alone with You,Jake Owen,0,Country / Rock
Alone with You,Tevin Campbell,1,Hip Hop / RnB
Already Gone,Sugarland,0,Country / Rock
Alright,Darius Rucker,0,Country / Rock
Always Be My Baby,Mariah Carey,1,Hip Hop / RnB
Always on Time,Ja Rule ,1,Hip Hop / RnB
Am I the Only One,Dierks Bentley,0,Country / Rock
Amazed,Lonestar,0,Country / Rock
Amen,Halestorm,0,Country / Rock
American Honey,Lady Antebellum,0,Country / Rock
American Honky-Tonk Bar Association,Garth Brooks,0,Country / Rock
American Kids,Kenny Chesney,0,Country / Rock
American Ride,Toby Keith,0,Country / Rock
American Soldier,Toby Keith,0,Country / Rock
AmeriKKKa's Most Wanted,Ice Cube,1,Hip Hop / RnB
Anaconda,Nicki Minaj,1,Hip Hop / RnB
Angel Eyes,Love and Theft,0,Country / Rock
Angels Fall,Breaking Benjamin,0,Country / Rock
Angry All the Time,Tim McGraw,0,Country / Rock
Animal I Have Become[64],Three Days Grace,0,Country / Rock
Animals,Nickelback,0,Country / Rock
Another Part of Me,Michael Jackson,1,Hip Hop / RnB
Another Way to Die,Disturbed,0,Country / Rock
Any Love,Luther Vandross,1,Hip Hop / RnB
