song	artist	hip_hop_rnb	genre
10,000 Hours	Dan + Shay and Justin Bieber	0	Country / Rock
All to Myself	Dan + Shay	0	Country / Rock
Beautiful Crazy	Luke Combs	0	Country / Rock
Beer Never Broke My Heart	Luke Combs	0	Country / Rock
Best Shot	Jimmie Allen	0	Country / Rock
Blue Tacoma	Russell Dickerson	0	Country / Rock
Broken Halos	Chris Stapleton	0	Country / Rock
Drowns the Whiskey	Jason Aldean featuring Miranda Lambert	0	Country / Rock
Even Though I'm Leaving	Luke Combs	0	Country / Rock
Every Little Thing	Russell Dickerson	0	Country / Rock
Everything's Gonna Be Alright	David Lee Murphy and Kenny Chesney	0	Country / Rock
Eyes on You	Chase Rice	0	Country / Rock
Five More Minutes	Scotty McCreery	0	Country / Rock
For the First Time	Darius Rucker	0	Country / Rock
Get Along	Kenny Chesney	0	Country / Rock
Girl	Maren Morris	0	Country / Rock
Girl Like You	Jason Aldean	0	Country / Rock
God's Country	Blake Shelton	0	Country / Rock
Good as You	Kane Brown	0	Country / Rock
Good Girl	Dustin Lynch	0	Country / Rock
Good Vibes	Chris Janson	0	Country / Rock
Heaven	Kane Brown	0	Country / Rock
Here Tonight	Brett Young	0	Country / Rock
Hotel Key	Old Dominion	0	Country / Rock
I Could Use a Love Song	Maren Morris	0	Country / Rock
I Don't Know About You	Chris Lane	0	Country / Rock
I Was Jack (You Were Diane)	Jake Owen	0	Country / Rock
Knockin' Boots	Luke Bryan	0	Country / Rock
Legends	Kelsea Ballerini	0	Country / Rock
Life Changes	Thomas Rhett	0	Country / Rock
Like I Loved You	Brett Young	0	Country / Rock
Living	Dierks Bentley	0	Country / Rock
Look What God Gave Her	Thomas Rhett	0	Country / Rock
Lose It	Kane Brown	0	Country / Rock
Losing Sleep	Chris Young	0	Country / Rock
Love Ain't	Eli Young Band	0	Country / Rock
Love You Too Late	Cole Swindell	0	Country / Rock
Make It Sweet	Old Dominion	0	Country / Rock
Marry Me	Thomas Rhett	0	Country / Rock
Meant to Be	Bebe Rexha and Florida Georgia Line	0	Country / Rock
Mercy	Brett Young	0	Country / Rock
Most People Are Good	Luke Bryan	0	Country / Rock
One Man Band	Old Dominion	0	Country / Rock
One Number Away	Luke Combs	0	Country / Rock
One Thing Right	Marshmello and Kane Brown	0	Country / Rock
Prayed for You	Matt Stell	0	Country / Rock
Rearview Town	Jason Aldean	0	Country / Rock
Remember You Young	Thomas Rhett	0	Country / Rock
Rumor	Lee Brice	0	Country / Rock
She Got the Best of Me	Luke Combs	0	Country / Rock
Simple	Florida Georgia Line	0	Country / Rock
Singles You Up	Jordan Davis	0	Country / Rock
Sixteen	Thomas Rhett	0	Country / Rock
Some of It	Eric Church	0	Country / Rock
Speechless	Dan + Shay	0	Country / Rock
Sunrise, Sunburn, Sunset	Luke Bryan	0	Country / Rock
Tequila	Dan + Shay	0	Country / Rock
The Git Up	Blanco Brown	0	Country / Rock
The Ones That Didn't Make It Back Home	Justin Moore	0	Country / Rock
This Is It	Scotty McCreery	0	Country / Rock
Up Down	Morgan Wallen featuring Florida Georgia Line	0	Country / Rock
What Happens in a Small Town	Brantley Gilbert and Lindsay Ell	0	Country / Rock
Whiskey Glasses	Morgan Wallen	0	Country / Rock
Woman, Amen	Dierks Bentley	0	Country / Rock
Written in the Sand	Old Dominion	0	Country / Rock
You Make It Easy	Jason Aldean	0	Country / Rock
Yours	Russell Dickerson	0	Country / Rock
1000hp	Godsmack	0	Country / Rock
16	Highly Suspect	0	Country / Rock
A Reason to Fight	Disturbed	0	Country / Rock
Aerials	System of a Down	0	Country / Rock
Amen	Halestorm	0	Country / Rock
Angels Fall	Breaking Benjamin	0	Country / Rock
Animal I Have Become[64]	Three Days Grace	0	Country / Rock
Animals	Nickelback	0	Country / Rock
Another Way to Die	Disturbed	0	Country / Rock
Apocalyptic	Halestorm	0	Country / Rock
Are You Ready	Disturbed	0	Country / Rock
Atlas, Rise!	Metallica	0	Country / Rock
Awake	Godsmack	0	Country / Rock
Away from Me	Puddle of Mudd	0	Country / Rock
Bad Girlfriend	Theory of a Deadman	0	Country / Rock
Bang Bang	Green Day	0	Country / Rock
Battle Born	Five Finger Death Punch	0	Country / Rock
Be Yourself	Audioslave	0	Country / Rock
Been Away Too Long	Soundgarden	0	Country / Rock
Best of You	Foo Fighters	0	Country / Rock
Black Rose	Volbeat featuring Danko Jones	0	Country / Rock
Blue on Black	Five Finger Death Punch featuring Kenny Wayne Shepherd, Brantley Gilbert and Brian May	0	Country / Rock
Blurry[21]	Puddle of Mudd	0	Country / Rock
Bones	Young Guns	0	Country / Rock
Born for Greatness	Papa Roach	0	Country / Rock
Boulevard of Broken Dreams	Green Day	0	Country / Rock
Break (2010)[100]	Three Days Grace	0	Country / Rock
Break[4]	Three Days Grace	0	Country / Rock
Breakdown	Tantric	0	Country / Rock
Breaking the Habit	Linkin Park	0	Country / Rock
Breath	Breaking Benjamin	0	Country / Rock
Bulletproof	Godsmack	0	Country / Rock
Bulletproof[20]	Godsmack	0	Country / Rock
Bully[8]	Shinedown	0	Country / Rock
Burn It Down	Linkin Park	0	Country / Rock
By Crooked Steps	Soundgarden	0	Country / Rock
By the Way	Red Hot Chili Peppers	0	Country / Rock
Californication	Red Hot Chili Peppers	0	Country / Rock
Chalk Outline	Three Days Grace	0	Country / Rock
Champagne	Cavo	0	Country / Rock
Check My Brain	Alice in Chains	0	Country / Rock
Cold Hard Bitch	Jet	0	Country / Rock
Come Around	Papa Roach	0	Country / Rock
Coming Down	Five Finger Death Punch	0	Country / Rock
Coming for You	The Offspring	0	Country / Rock
Congregation	Foo Fighters	0	Country / Rock
Country Song[6]	Seether	0	Country / Rock
Criticize	Adelitas Way	0	Country / Rock
Cryin' Like a Bitch	Godsmack	0	Country / Rock
Cut the Cord	Shinedown	0	Country / Rock
Cyanide	Metallica	0	Country / Rock
Dance Macabre	Ghost	0	Country / Rock
Dani California	Red Hot Chili Peppers	0	Country / Rock
Dark Necessities	Red Hot Chili Peppers	0	Country / Rock
Deal with the Devil	Pop Evil	0	Country / Rock
Devil	Shinedown	0	Country / Rock
Devour	Shinedown	0	Country / Rock
Diamond Eyes (Boom-Lay Boom-Lay Boom)	Shinedown	0	Country / Rock
Do Your Worst	Rival Sons	0	Country / Rock
Drift & Die	Puddle of Mudd	0	Country / Rock
Duck and Run	3 Doors Down	0	Country / Rock
Edge of a Revolution	Nickelback	0	Country / Rock
Emotionless	Red Sun Rising	0	Country / Rock
Face Everything and Rise	Papa Roach	0	Country / Rock
Face to the Floor	Chevelle	0	Country / Rock
Failure[14]	Breaking Benjamin	0	Country / Rock
Fake It	Seether	0	Country / Rock
Fall to Pieces	Velvet Revolver	0	Country / Rock
Father of All...	Green Day	0	Country / Rock
Feel Invincible	Skillet	0	Country / Rock
Figured You Out[44]	Nickelback	0	Country / Rock
Follow Me Down	The Pretty Reckless	0	Country / Rock
Footsteps	Pop Evil	0	Country / Rock
Freak Like Me	Halestorm	0	Country / Rock
Get Up	Shinedown	0	Country / Rock
Go to War	Nothing More	0	Country / Rock
Guilty All the Same	Linkin Park featuring Rakim	0	Country / Rock
Hail to the King	Avenged Sevenfold	0	Country / Rock
Happy?	Mudvayne	0	Country / Rock
Hardwired	Metallica	0	Country / Rock
Headstrong[37]	Trapt	0	Country / Rock
Heaven Knows[12]	The Pretty Reckless	0	Country / Rock
Heaven nor Hell	Volbeat	0	Country / Rock
Heavy Is the Head	Zac Brown Band featuring Chris Cornell	0	Country / Rock
Help	Papa Roach	0	Country / Rock
Hero	Chad Kroeger featuring Josey Scott	0	Country / Rock
Heroin	Badflower	0	Country / Rock
Higher	Creed	0	Country / Rock
Highway Tune	Greta Van Fleet	0	Country / Rock
Holiday	Green Day	0	Country / Rock
Hollow	Alice in Chains	0	Country / Rock
How Did You Love	Shinedown	0	Country / Rock
How You Remind Me	Nickelback	0	Country / Rock
I Am Machine	Three Days Grace	0	Country / Rock
I Disappear	Metallica	0	Country / Rock
I Don't Care	Apocalyptica featuring Adam Gontier	0	Country / Rock
I Don't Wanna Stop	Ozzy Osbourne	0	Country / Rock
I Only Lie When I Love You	Royal Blood	0	Country / Rock
I Stand Alone	Godsmack	0	Country / Rock
I Will Not Bow	Breaking Benjamin	0	Country / Rock
Infra-Red	Three Days Grace	0	Country / Rock
Inside the Fire	Disturbed	0	Country / Rock
Isolation	Alter Bridge	0	Country / Rock
It's Been Awhile[17]	Staind	0	Country / Rock
It's Not My Time	3 Doors Down	0	Country / Rock
Jaded	Aerosmith	0	Country / Rock
Joyride (Omen)	Chevelle	0	Country / Rock
Just Like You	Three Days Grace	0	Country / Rock
Know Your Enemy	Green Day	0	Country / Rock
Kryptonite[6]	3 Doors Down	0	Country / Rock
Land of Confusion	Disturbed	0	Country / Rock
Last Day Under the Sun	Volbeat	0	Country / Rock
Let Me Hear You Scream	Ozzy Osbourne	0	Country / Rock
Let You Down	Seether	0	Country / Rock
Lies of the Beautiful People	Sixx:A.M.	0	Country / Rock
Lifeline	Papa Roach	0	Country / Rock
Lift Me Up	Five Finger Death Punch	0	Country / Rock
Lights Out	Royal Blood	0	Country / Rock
Like a Stone	Audioslave	0	Country / Rock
Little Monster	Royal Blood	0	Country / Rock
Live to Rise	Soundgarden	0	Country / Rock
Lo/Hi	The Black Keys	0	Country / Rock
Lola Montez	Volbeat	0	Country / Rock
Loser	3 Doors Down	0	Country / Rock
Lowlife	Theory of a Deadman	0	Country / Rock
