song,artist,hip_hop_rnb
"10,000 Hours",Dan + Shay and Justin Bieber,0
All to Myself,Dan + Shay,0
Beautiful Crazy,Luke Combs,0
Beer Never Broke My Heart,Luke Combs,0
Best Shot,Jimmie Allen,0
Blue Tacoma,Russell Dickerson,0
Broken Halos,Chris Stapleton,0
Drowns the Whiskey,Jason Aldean featuring Miranda Lambert,0
Even Though I'm Leaving,Luke Combs,0
Every Little Thing,Russell Dickerson,0
Everything's Gonna Be Alright,David Lee Murphy and Kenny Chesney,0
Eyes on You,Chase Rice,0
Five More Minutes,Scotty McCreery,0
For the First Time,Darius Rucker,0
Get Along,Kenny Chesney,0
Girl,Maren Morris,0
Girl Like You,Jason Aldean,0
God's Country,Blake Shelton,0
Good as You,Kane Brown,0
Good Girl,Dustin Lynch,0
Good Vibes,Chris Janson,0
Heaven,Kane Brown,0
Here Tonight,Brett Young,0
Hotel Key,Old Dominion,0
I Could Use a Love Song,Maren Morris,0
I Don't Know About You,Chris Lane,0
I Was Jack (You Were Diane),Jake Owen,0
Knockin' Boots,Luke Bryan,0
Legends,Kelsea Ballerini,0
Life Changes,Thomas Rhett,0
Like I Loved You,Brett Young,0
Living,Dierks Bentley,0
Look What God Gave Her,Thomas Rhett,0
Lose It,Kane Brown,0
Losing Sleep,Chris Young,0
Love Ain't,Eli Young Band,0
Love You Too Late,Cole Swindell,0
Make It Sweet,Old Dominion,0
Marry Me,Thomas Rhett,0
Meant to Be,Bebe Rexha and Florida Georgia Line,0
Mercy,Brett Young,0
Most People Are Good,Luke Bryan,0
One Man Band,Old Dominion,0
One Number Away,Luke Combs,0
One Thing Right,Marshmello and Kane Brown,0
Prayed for You,Matt Stell,0
Rearview Town,Jason Aldean,0
Remember You Young,Thomas Rhett,0
Rumor,Lee Brice,0
She Got the Best of Me,Luke Combs,0
Simple,Florida Georgia Line,0
Singles You Up,Jordan Davis,0
Sixteen,Thomas Rhett,0
Some of It,Eric Church,0
Speechless,Dan + Shay,0
"Sunrise, Sunburn, Sunset",Luke Bryan,0
Tequila,Dan + Shay,0
The Git Up,Blanco Brown,0
The Ones That Didn't Make It Back Home,Justin Moore,0
This Is It,Scotty McCreery,0
Up Down,Morgan Wallen featuring Florida Georgia Line,0
What Happens in a Small Town,Brantley Gilbert and Lindsay Ell,0
Whiskey Glasses,Morgan Wallen,0
"Woman, Amen",Dierks Bentley,0
Written in the Sand,Old Dominion,0
You Make It Easy,Jason Aldean,0
Yours,Russell Dickerson,0
1000hp,Godsmack,0
16,Highly Suspect,0
A Reason to Fight,Disturbed,0
Aerials,System of a Down,0
Amen,Halestorm,0
Angels Fall,Breaking Benjamin,0
Animal I Have Become[64],Three Days Grace,0
Animals,Nickelback,0
Another Way to Die,Disturbed,0
Apocalyptic,Halestorm,0
Are You Ready,Disturbed,0
"Atlas, Rise!",Metallica,0
Awake,Godsmack,0
Away from Me,Puddle of Mudd,0
Bad Girlfriend,Theory of a Deadman,0
Bang Bang,Green Day,0
Battle Born,Five Finger Death Punch,0
Be Yourself,Audioslave,0
Been Away Too Long,Soundgarden,0
Best of You,Foo Fighters,0
Black Rose,Volbeat featuring Danko Jones,0
Blue on Black,"Five Finger Death Punch featuring Kenny Wayne Shepherd,
Brantley Gilbert and Brian May",0
Blurry[21],Puddle of Mudd,0
Bones,Young Guns,0
Born for Greatness,Papa Roach,0
Boulevard of Broken Dreams,Green Day,0
Break (2010)[100],Three Days Grace,0
Break[4],Three Days Grace,0
Breakdown,Tantric,0
Breaking the Habit,Linkin Park,0
Breath,Breaking Benjamin,0
Bulletproof,Godsmack,0
Bulletproof[20],Godsmack,0
Bully[8],Shinedown,0
Burn It Down,Linkin Park,0
By Crooked Steps,Soundgarden,0
By the Way,Red Hot Chili Peppers,0
Californication,Red Hot Chili Peppers,0
Chalk Outline,Three Days Grace,0
Champagne,Cavo,0
Check My Brain,Alice in Chains,0
Cold Hard Bitch,Jet,0
Come Around,Papa Roach,0
Coming Down,Five Finger Death Punch,0
Coming for You,The Offspring,0
Congregation,Foo Fighters,0
Country Song[6],Seether,0
Criticize,Adelitas Way,0
Cryin' Like a Bitch,Godsmack,0
Cut the Cord,Shinedown,0
Cyanide,Metallica,0
Dance Macabre,Ghost,0
Dani California,Red Hot Chili Peppers,0
Dark Necessities,Red Hot Chili Peppers,0
Deal with the Devil,Pop Evil,0
Devil,Shinedown,0
Devour,Shinedown,0
Diamond Eyes (Boom-Lay Boom-Lay Boom),Shinedown,0
