song,artist,hip_hop_rnb,rel_date
Oasis,Roberta Flack,1,NA
Superwoman,Karyn White,1,NA
Can You Stand the Rain,New Edition,1,NA
Dreamin',Vanessa Williams,1,NA
Just Coolin',LeVert,1,NA
My Fantasy,Teddy Riley,1,NA
Can't Get Over You,Maze,1,NA
Back to Life (However Do You Want Me),Soul II Soul,1,NA
You Are My Everything,Surface,1,NA
Don't Take It Personal,Jermaine Jackson,1,NA
Home,Stephanie Mills,1,NA
Here and Now,Luther Vandross,1,NA
Ain't Nuthin' in the World,Miki Howard,1,NA
All of My Love,The Gap Band,1,NA
Tender Lover,Babyface,1,NA
The Way You Make Me Feel,Michael Jackson,1,NA
Love Overboard,Gladys Knight & the Pips,1,NA
I Want Her,Keith Sweat,1,NA
Girlfriend,Pebbles,1,NA
You Will Know,Stevie Wonder,1,NA
Fishnet,Morris Day,1,NA
Man in the Mirror,Michael Jackson,1,NA
Wishing Well,Terence Trent D'Arby,1,NA
Ooo La La La,Teena Marie,1,NA
"Get Outta My Dreams, Get into My Car",Billy Ocean,1,NA
Da Butt,E.U.,1,NA
Nite and Day,Al B. Sure!,1,NA
Mercedes Boy,Pebbles,1,NA
Just Got Paid,Johnny Kemp,1,NA
Little Walter,Tony! Toni! Toné!,1,NA
One More Try,George Michael,1,NA
Joy,Teddy Pendergrass,1,NA
Paradise,Sade,1,NA
Roses Are Red,The Mac Band,1,NA
Don't Be Cruel,Bobby Brown,1,NA
Off on Your Own (Girl),Al B. Sure!,1,NA
Loosey's Rap,Rick James,1,NA
Nice 'N' Slow,Freddie Jackson,1,NA
Another Part of Me,Michael Jackson,1,NA
She's On the Left,Jeffrey Osborne,1,NA
Addicted to You,LeVert,1,NA
My Prerogative,Bobby Brown,1,NA
The Way You Love Me,Karyn White,1,NA
Any Love,Luther Vandross,1,NA
Giving You the Best That I Got,Anita  Baker,1,NA
Thanks for My Child,Cheryl Pepsii Riley,1,NA
Hey Lover,Freddie Jackson,1,NA
Dial My Heart,The Boys,1,NA
Everything I Miss at Home,Cherrelle,1,NA
Tumblin' Down,Ziggy Marley and the Melody Makers,1,NA
Empire State of Mind,Jay-Z,1,2009-11-21
BedRock,Young Money,1,2010-01-23
Say Something,Timbaland,1,2010-03-27
Nothin' on You,B.o.B ,1,2010-04-24
Over,Drake,1,2010-06-12
Your Love,Nicki Minaj,1,2010-07-10
Love the Way You Lie,Eminem,1,2010-09-04
Fancy,Drake,1,2010-10-30
Right Above It,Lil Wayne,1,2010-11-06
No Hands,Waka Flocka Flame,1,2010-12-11
Aston Martin Music,Rick Ross,1,2010-12-25
No Hands,Waka Flocka Flame,1,2011-01-15
Black and Yellow,Wiz Khalifa,1,2011-02-05
Moment 4 Life,Nicki Minaj,1,2011-02-19
Look at Me Now,Chris Brown ,1,2011-04-23
My Last,Big Sean,1,2011-07-02
I'm on One,DJ Khaled,1,2011-07-16
Headlines,Drake,1,2011-10-15
Niggas in Paris,Jay-Z,1,2011-12-03
Make Me Proud,Drake,1,2012-02-11
The Motto,Drake ,1,2012-02-18
Drank in My Cup,Kirko Bangz,1,2012-05-26
Cashin' Out,Cash Out,1,2012-06-23
Mercy,Kanye West,1,2012-07-07
No Lie,2 Chainz,1,2012-09-08
Gangnam Style,Psy,1,2012-10-20
I Cry,Flo Rida,1,2012-12-15
Gangnam Style,Psy,1,2013-01-12
Thrift Shop,Macklemore and Ryan Lewis ,1,2013-01-19
Can't Hold Us,Macklemore,1,2013-05-04
Holy Grail,Jay-Z,1,2013-08-10
Berzerk,Eminem,1,2013-09-14
Holy Grail,Jay-Z,1,2013-09-21
Rap God,Eminem,1,2013-11-02
Holy Grail,Jay-Z,1,2013-11-09
The Monster,Eminem,1,2013-11-16
Timber,Pitbull,1,2014-01-18
Fancy,Iggy Azalea ,1,2014-05-03
Anaconda,Nicki Minaj,1,2014-09-06
Black Widow,Iggy Azalea,1,2014-10-18
Hot Boy,Bobby Shmurda,1,2014-11-22
I Don't Fuck with You,Big Sean,1,2014-12-06
