,song,url,date,artist
0,"""Empire State of Mind""
",/wiki/Jay-Z,"November 21, 2009
",Jay-Z
1,"""BedRock""
",/wiki/Young_Money_Entertainment,"January 23, 2010
",Young Money
2,"""Say Something""
",/wiki/Timbaland,"March 27, 2010
",Timbaland
3,Nothin' on You,/wiki/Nothin%27_on_You,"April 24, 2010
","B.o.B featuring Bruno Mars
"
4,"""Over""
",/wiki/Drake_(musician),"June 12, 2010
",Drake
5,"""Your Love""
",/wiki/Nicki_Minaj,"July 10, 2010
",Nicki Minaj
6,"""Love the Way You Lie""
",/wiki/Eminem,"September 4, 2010
",Eminem
7,"""Fancy""
",/wiki/Drake_(musician),"October 30, 2010
",Drake
8,"""Right Above It""
",/wiki/Lil_Wayne,"November 6, 2010
",Lil Wayne
9,"""No Hands""
",/wiki/Waka_Flocka_Flame,"December 11, 2010
",Waka Flocka Flame
10,"""Aston Martin Music""
",/wiki/Rick_Ross,"December 25, 2010
",Rick Ross
11,"""No Hands"" ↑
",/wiki/Waka_Flocka_Flame,"January 15, 2011
",Waka Flocka Flame
12,"""Black and Yellow""
",/wiki/Wiz_Khalifa,"February 5, 2011
",Wiz Khalifa
13,"""Moment 4 Life""
",/wiki/Nicki_Minaj,"February 19, 2011
",Nicki Minaj
14,Look at Me Now,/wiki/Look_at_Me_Now_(Chris_Brown_song),"April 23, 2011
","Chris Brown featuring Lil Wayne and Busta Rhymes
"
15,"""My Last""
",/wiki/Big_Sean,"July 2, 2011
",Big Sean
16,"""I'm on One""
",/wiki/DJ_Khaled,"July 16, 2011
",DJ Khaled
17,"""Headlines""
",/wiki/Drake_(musician),"October 15, 2011
",Drake
18,"""Niggas in Paris""
",/wiki/Jay-Z,"December 3, 2011
",Jay-Z
19,"""Make Me Proud""
",/wiki/Drake_(musician),"February 11, 2012
",Drake
20,The Motto,/wiki/The_Motto_(Drake_song),"February 18, 2012
","Drake featuring Lil Wayne
"
21,"""Drank in My Cup""
",/wiki/Kirko_Bangz,"May 26, 2012
",Kirko Bangz
22,"""Cashin' Out""
",/wiki/Cash_Out,"June 23, 2012
",Cash Out
23,"""Mercy""
",/wiki/Kanye_West,"July 7, 2012
",Kanye West
24,"""No Lie""
",/wiki/2_Chainz,"September 8, 2012
",2 Chainz
25,"""Gangnam Style""
",/wiki/Psy,"October 20, 2012
",Psy
26,"""I Cry""
",/wiki/Flo_Rida,"December 15, 2012
",Flo Rida
27,"""Gangnam Style"" ↑
",/wiki/Psy,"January 12, 2013
",Psy
28,Thrift Shop,/wiki/Thrift_Shop,"January 19, 2013
","Macklemore and Ryan Lewis featuring Wanz
"
29,"""Can't Hold Us""
",/wiki/Macklemore,"May 4, 2013
",Macklemore
30,"""Holy Grail""
",/wiki/Jay-Z,"August 10, 2013
",Jay-Z
31,"""Berzerk""
",/wiki/Eminem,"September 14, 2013
",Eminem
32,"""Holy Grail"" ↑
",/wiki/Jay-Z,"September 21, 2013
",Jay-Z
33,"""Rap God""
",/wiki/Eminem,"November 2, 2013
",Eminem
34,"""Holy Grail"" ↑
",/wiki/Jay-Z,"November 9, 2013
",Jay-Z
35,"""The Monster""
",/wiki/Eminem,"November 16, 2013
",Eminem
36,"""Timber""
",/wiki/Pitbull_(rapper),"January 18, 2014
",Pitbull
37,Fancy,/wiki/Fancy_(Iggy_Azalea_song),"May 3, 2014
","Iggy Azalea featuring Charli XCX
"
38,"""Anaconda""
",/wiki/Nicki_Minaj,"September 6, 2014
",Nicki Minaj
39,"""Black Widow""
",/wiki/Iggy_Azalea,"October 18, 2014
",Iggy Azalea
40,"""Hot Boy""
",/wiki/Bobby_Shmurda,"November 22, 2014
",Bobby Shmurda
41,"""I Don't Fuck with You""
",/wiki/Big_Sean,"December 6, 2014
",Big Sean
42,"""Only""
",/wiki/Nicki_Minaj,"December 27, 2014
",Nicki Minaj
43,"""I Don't Fuck with You"" ↑
",/wiki/Big_Sean,"January 3, 2015
",Big Sean
44,"""Time of Our Lives""
",/wiki/Pitbull_(rapper),"February 14, 2015
",Pitbull
45,"""Trap Queen""
",/wiki/Fetty_Wap,"April 4, 2015
",Fetty Wap
46,See You Again,/wiki/See_You_Again_(Wiz_Khalifa_song),"April 25, 2015
","Wiz Khalifa featuring Charlie Puth
"
47,"""Watch Me (Whip/Nae Nae)""
",/wiki/Silent%C3%B3,"August 8, 2015
",Silentó
48,"""Hotline Bling""
",/wiki/Drake_(musician),"October 10, 2015
",Drake
49,"""Me, Myself & I""
",/wiki/G-Eazy,"February 13, 2016
",G-Eazy
50,"""Summer Sixteen""
",/wiki/Drake_(musician),"February 20, 2016
",Drake
51,"""Me, Myself & I"" ↑
",/wiki/G-Eazy,"February 27, 2016
",G-Eazy
52,Panda,/wiki/Panda_(Desiigner_song),"April 23, 2016
","Desiigner
"
53,"""Don't Mind""
",/wiki/Kent_Jones_(rapper),"August 6, 2016
",Kent Jones
54,Panda,/wiki/Panda_(Desiigner_song),"August 13, 2016
","Desiigner
"
55,"""Sucker for Pain""
",/wiki/Lil_Wayne,"August 27, 2016
",Lil Wayne
56,"""Too Good""
",/wiki/Drake_(musician),"September 3, 2016
",Drake
57,"""Broccoli""
",/wiki/DRAM_(musician),"September 24, 2016
",DRAM
58,"""Black Beatles""
",/wiki/Rae_Sremmurd,"November 26, 2016
",Rae Sremmurd
59,"""Bad and Boujee""
",/wiki/Migos,"January 21, 2017
",Migos
60,"""iSpy""
",/wiki/Kyle_(musician),"April 15, 2017
",Kyle
61,Humble,/wiki/Humble_(song),"April 22, 2017
","Kendrick Lamar
"
62,"""I'm the One""
",/wiki/DJ_Khaled,"May 20, 2017
",DJ Khaled
63,"""Unforgettable""
",/wiki/French_Montana,"August 19, 2017
",French Montana
64,"""Bodak Yellow (Money Moves)""
",/wiki/Cardi_B,"September 2, 2017
",Cardi B
65,"""Rockstar""
",/wiki/Post_Malone,"October 28, 2017
",Post Malone
66,God's Plan,/wiki/God%27s_Plan_(song),"February 3, 2018
","Drake
"
67,"""Nice for What""
",/wiki/Drake_(musician),"April 28, 2018
",Drake
68,"""This Is America""
",/wiki/Donald_Glover,"May 19, 2018
",Childish Gambino
69,"""Nice for What"" ↑
",/wiki/Drake_(musician),"June 2, 2018
",Drake
70,"""Psycho""
",/wiki/Post_Malone,"June 16, 2018
",Post Malone
71,"""Nice for What"" ↑
",/wiki/Drake_(musician),"June 23, 2018
",Drake
72,"""Sad!""
",/wiki/XXXTentacion,"June 30, 2018
",XXXTentacion
73,"""I Like It""
",/wiki/Cardi_B,"July 7, 2018
",Cardi B
74,"""Nice for What"" ↑
",/wiki/Drake_(musician),"July 14, 2018
",Drake
75,"""In My Feelings""
",/wiki/Drake_(musician),"July 21, 2018
",Drake
76,"""Lucid Dreams""
",/wiki/Juice_Wrld,"October 6, 2018
",Juice Wrld
77,"""Mona Lisa""
",/wiki/Lil_Wayne,"October 13, 2018
",Lil Wayne
