song,artist,rel_date,lyrics
Oasis,Roberta Flack,NA,"In the morning When I see the sun I think about you February Cold and cloudy days Here without you Oh, oh I know it won't be long 'Til you're here with me Waiting with anticipation Lately Seems I hear your voice in the distance Coming closer Dark and rainy skies disappearing Oh, oh Let me hold you close I know what you need Give you all my love and affection Oh Now I'm laying next to you We share our hearts beneath the desert moon Now my love you'll never lose Now my oasis here in you Baby The world is far away When we're together in my oasis Kiss my tears away And we remember (Now remember) Oh, oh Let me hold you close (Hold you close) I know what you need (What you need) Give you all my love and affection Oh Now I'm laying next to you We share our hearts beneath desert moons And my love you'll never lose Now my oasis here in you Say you'll never leave (Oasis, oasis) Oh, no All that I need Is to keep you here with me (Need, need, need, need, oh) Oh World is far away (No stormy weather) No more cloudy days No, no (Found my oasis) In your loving arms (I'll leave you never) Never leave you Oh, oh Let me hold you close (Hold you close) I know what you need (What you need) Give you all my love and affection Oh When I'm laying next to you We share out hearts beneath desert moons And my love you'll never lose Now my oasis here in you Now I'm laying next to you We share out hearts beneath desert moons Now my love you'll never lose Now my oasis here in you Oh, oh, oh oh, oh Oh, oh, oh oh, oh"
Superwoman,Karyn White,NA,"Early in the morning, I put breakfast at your table And make sure that your coffee has its sugar and cream Your eggs are over-easy, your toast done lightly All that's missing is your morning kiss that used to greet me Now you say the juice is sour, it used to be so sweet And I can't help but to wonder if you're talking 'bout me We don't talk the way we used to talk, it’s hurting so deep I’ve got my pride, I will not cry But it’s making me weak I'm not your superwoman I'm not the kind of girl that you can let down and think that everything's okay Boy, I am only human This girl needs more than occasional hugs as a token of love from you to me (Ooh baby. Ay, yeah, yeah, yeah) I fought my way through the rush hour trying to make it home just for you I want to make sure that your dinner will be waiting for you But when you get there you just tell me you’re not hungry at all You said you'd rather read the paper and you don't want to talk You like to think that I’m just crazy when I say that you've changed I’m convinced I know the problem: you don't love me the same You’re just going through the motions and you’re not being fair I've got my pride, I will not cry Still I can't help but care I'm not your superwoman, oh no no no I'm not the kind of girl that you can let down and think that everything's okay Boy, I am only human (I'm only human) This girl needs more than occasional hugs as a token of love from you to me I'm not your superwoman I'm not the kind of girl that you can let down and think that everything's okay Boy, I am only human (I'm only human, yeah) This girl needs more than occasional hugs as a token of love from you to me Ooh baby Look into the corners of your mind I'll always be there for you through good and bad times But I can't be that superwoman that you want me to be I'll give my love, everlasting love if you'll return love to me I’m not your superwoman I'm not your superwoman, oh no, oh no I'm not the kind of girl that you can let down and think that everything's okay Boy, I am only human (I'm only human) This girl needs more than occasional hugs as a token of love from you to me Ah, ha, if you feel it in your heart and you understand me Stop right where you are, everybody sing along with me (Hoo, hoo, hoo, hoo-hoo, hoo, hoo…hoo, hoo, hoo, hoo) I’m the kind of girl that can treat you so sweet But you got to realize that you got to be sweeter to me (Hoo, hoo, hoo, hoo-hoo, hoo, hoo…hoo, hoo, hoo, hoo) I need love I need just your love I'm not your superwoman I'm not your superwoman, oh no I'm not the kind of girl that you can let down and think that everything's okay Boy, I am only human (I'm only human) This girl needs more than occasional hugs as a token of love from you to me"
Can You Stand the Rain,New Edition,NA,"Ooh, ooh, ooh, ooh, ooh, yeah, yeah, yeah Ooh, ooh, ooh, ooh Whoa, whoa, oh-oh On a perfect day, I know that I can count on you When that's not possible Tell me can you weather the storm? 'Cause I need somebody who will stand by me Through the good times and bad times She will always, always be right there Sunny days, everybody loves them Tell me, baby, can you stand the rain? Storms will come This we know for sure (This we know for sure) Can you stand the rain? Love unconditional, I'm not asking just of you And girl to make it last I'll do whatever needs to be done But I need somebody (Oh) Who will stand by me (Yeah, yeah) When it's tough, she won't run She will always, be right there for me, hee Sunny days, everybody loves them, tell me, baby Can you stand the rain? (Can you stand it?) Storms will come (I know, I know all the days won't be perfect) This we know for sure (But tell me can you stand it) Can you stand the rain? (Can you stand the rain?) Can you stand the rain (Can you stand the rain?) Can you stand the rain (No pressure, no pressure from me, baby) This we know for sure Can you stand the rain ('Cause I want you, and I need you, and I love you, girl) (Tell me, baby) Can you stand the rain (Will you be there for me?) Come on, baby, let's go get wet Can you stand the rain (Can you stand the rain?) Can you stand the rain (Will you be there, girl?) Can you stand the rain (Storms will come for sure) Can you stand the rain (Can you stand the rain?) Can you stand the rain (This we know for sure) Can you stand the rain Can you stand the rain (This we know for sure) Can you stand the rain Can you stand the rain (This we know for sure) Can you stand the rain Can you stand the rain Yeah, it's gonna—but I know, I know I'll be right there (Can you stand the rain?) Yeah, yeah, yeah, yeah-yeah-yeah"
Dreamin',Vanessa Williams,NA,"Now I'm living in a middle of a dream A dream with a little bit of fantasy For the life of me I never thought that it could be The way it stands right now Emotions running high Every night I wish That I could tell you how I feel Those words are here in my heart Oh, but there is Just one missing part How to put it together How to say it right And let you know that Every night I'll be dreamin' Dreamin' Hoping, baby You will be there I'll be dreamin' Dreamin' Hoping, baby You will be there Let me take time out To try and find out If this could be real 'Cause reality scares me I've been living a fantasy How should I feel"
Just Coolin',LeVert,NA,NA
My Fantasy,Teddy Riley,NA,"Y'all ready to kick? C'mon.  1, 2, 3, swing it! Aw yeah, baby, you're my fantasy And I want everybody in the house to clap Clap, clap your hands, c'mon And I want all the money fellas out there to give me the dog when I count to three Ready?  Y'all ready?  Here we go, 1, 2, 3, swing it! (Woof!) Aw yeah.  (Woof!)  Aw yeah.  (Woof!) Aw yeah.  (Woof!) All the money major fellas, (Woof!) Oh yeah, do the dog.  (Woof!) Do, do the dog.  (Woof!) Now I want to introduce who's in the house tonight.  Ready? Guy's in the house.  Gene Griff's in the house RedHead's in the house Wreckx-N-Effect's in the house Today's in the house and my man Zen's in the house Spike Lee's in the house TR kicking it live You're just a fantasy.  (She's just a fantasy.) Image in a magazine.  (Image in a magazine.) I've seen the face before.  (I've seen her face before.) Her body walks out of my door.  (Hey, hey, hey, hey, hey.) She's just a fantasy Image in a magazine I've seen her face before Her body walks out of my door Every time I close my eyes What she give me is said surprise That body was so kicking Hey fellas, it's just a thing I need (She's just a fantasy.) She's just a fantasy (Image in a magazine.) Image in a magazine (I've seen the face before.) I've seen her face before (Her body walks out of my door.) I ain't lying, I ain't lying, y'all She sets my heart aflame I wonder what's her name Something inside says ""hey, this could be my lucky day."" (She's just a fantasy.) Fantasy (Image in a magazine.) Image in a magazine (I've seen the face before.) I've seen her face before (Her body walks out of my door.) Oh, I ain't lying, I ain't lying, y'all She's just a fantasy I wish my fantasy could come true Oh, oh, oh, oh, oh.  (Fantasy) Nothing more than wanting, it's just for me to be with you It's just my fantasy (She's just a fantasy.) Hey, you were in a magazine (Image in a magazine.) I've seen her face before (I've seen the face before.) Her body walks out my door (Her body walks out of my door.) Hey, eh, eh, eh, eh, eh (She's just a fantasy.) Just a fantasy (Image in a magazine.) Image in a magazine (I've seen the face before.) I've seen her face before (Her body walk out of my door.) I ain't lying, I ain't lying, yeah, eh, eh, eh, eh (She's just a fantasy.) Just a fantasy (Image in a magazine.) Image in a magazine (Image in a magazine.) (I've seen the face before.) I've seen her face before (Her body walks out of my door.) I like it, I like it She's a fantasy I've seen it, I've seen it, I've seen it, yeah, eh, eh, eh, eh She's just a fantasy.  (She's just a fantasy.) Image in a magazine.  (Image in a magazine.) Image in a magazine.  (Seen it, yeah.) (Hey body walks out of my door.)  Yeah, eh, eh, eh, eh, eh, eh She's just a fantasy Image in a magazine I've seen it somewhere (Hey body walks out of my door.) And I got her, and I got her, and I got her here (She's just a fantasy.) She's like a cherry to me, baby (Image in a magazine.) She's just like an apple in my palm (I've seen the face before.) Said I've seen it (Her body walks out of my door.) Said I've seen it Oh, oh, oh, oh, oh, oh It's my fantasy It's my fantasy You're just my fantasy"
Can't Get Over You,Maze,NA,"I know I brought it on myself I owe no blame to no one else And now I realize I can't get over you And though I've tried to do my very best I just can't find happiness And it's all because I can't get over you Hey, Baby, why, oh why Thinking of you makes me cry No Matter how I try I'm gonna love you by and by By and by, Baby Ooh Ooh I don't know what to do I Can't get over you, you Baby I guess you'll always have a part Somewhere deep in my heart It's just to hard to hide I can't get over you I've tried to lose myself in song But the ties are much to strong What I'm I gonna do I can't get over you It makes feel so bad Messing up the love we had There's one thing I know I will always love you so Love you so Ooh, Ooh Baby, Baby, Baby I can't get over you (can't get over you) I can't get over you (Ooh yeah, yeah, yeah) (Hey, hey, now, now) I can't get over you Can't you see, Girl? Can't you see what you mean to me? (no, no) (Hey, oh, Baby) I wanna [?] to do about you, Girl I can't get over you"
Back to Life (However Do You Want Me),Soul II Soul,NA,"Back to life, back to reality Back to life, back to reality Back to life, back to reality Back to the here and now, oh yeah Show me how Decide what you want from me Tell me maybe I could be there for you How ever do you want me How ever do you need me, how How ever do you want me How ever do you need me, how How ever do you want me How ever do you need me How ever do you want me How ever do you need me Back to life Back to the present time Back from a fantasy, yes Tell me now, take the initiative I'll leave it in your hands Until you're ready How ever do you want me How ever do you need me, how How ever do you want me How ever do you need me How ever do you want me How ever do you need me, how How ever do you want me How ever do you need me How ever do you need me How ever do you need me How ever do you need me How ever do you need me I live at the top of the block No more room for trouble and fuss (no no no there's not) Need a change, a positive change Look it's me writing on the wall Oh oh tell me now how do you want me to be, yeah How ever do you want me How ever do you need me, how How ever do you want me How ever do you need me, how, how How ever do you want me How ever do you need me, how How ever do you want me How ever do you need me Back to life back to the day we had Let's end this foolish game Hear me out, don't let it waste away Make up your mind so I know where I stand How ever do you want me How ever do you need me, how How ever do you want me How ever do you need me How ever do you want me How ever do you need me, how How ever do you want me How ever do you need me How ever do you want me How ever do you need me, how How ever do you want me How ever do you need me How ever do you want me How ever do you need me, how How ever do you want me How ever do you need me..."
You Are My Everything,Surface,NA,"Oh, baby You are my everything You are my everything (Baby) You are my everything You are my everything When I'm feeling discouraged Nothing seems to go my way You lift me up and give me courage To face this world another day I get excited when I see you Shiver when I look in your eyes (Your eyes) I'm glad I found you and I won't let go And be forever by your side (You are) You are my everything (You're my) You are my everything (You're my everything) When I need a friend to talk to You tell me what I need to hear And when I need someone to hold me tight I turn to look and you appear (I'm right here, baby) No one else can do the things you do And ask for nothing in return Now let me show how much I care for you Giving you all the love that you deserve 'Cause you are You are my everything (You're my) You are my everything (You're my) (And I want the world to know that) You are the one in my life And I want you to stay (I'll stay) In my heart you comfort me That's why I can truly say that you are You are mine You are my everything (That's how I think about you, baby) You are my everything You are my everything (That's how I think about you, baby) You are my everything You are (You are my, my everything) You are my everything (You're my) (You're my) (You're everything to me) You are"
Don't Take It Personal,Jermaine Jackson,NA,"The time has come in my life for me to move on And get on with my life, my life Oh, but I don't regret, no Every precious moment that we spent They were well spent Oh girl, yes they were.  (Yes they were.) Don't be sad, don't be blue You got your whole life ahead of you (Oooh, oooh, oooh, oooh.) Love was here, now it's gone So it's time you keep moving on Don't take it personal Take the bitter with the sweet Easy come, easy go Don't take it personal Take the bitter with the sweet Some good things come to an end No blame, no shame It was nice, but sometimes things do change We change, but we can still be friends, be friends Oh girl, you have so much to offer to someone else in their life If you reach out, oh girl, yes you can.  (Yes you can.) Don't be sad, don't be blue You got your whole life ahead of you (Oooh, oooh, oooh, oooh.) Love was here, now it's gone So it's time you keep moving on.  (Oh, oooh, oooh, oooh.) Don't take it personal Take the bitter with the sweet Easy come, easy go Don't take it personal Take the bitter with the sweet Some good things come to an end Don't take it personal Take the bitter with the sweet Easy come, easy go Don't take it personal Take the bitter with the sweet Some good things come to an end So long, so long, my love It seems the time has come to go our separate ways Since we're not going to be lovers anymore Let's be friends Don't be sad, don't be blue You got your whole life ahead of you (Oooh, oooh, oooh, oooh.) Love was here, now it's gone So it's time you keep moving on.  (Oh, oooh, oooh, oooh.) Don't take it personal Take the bitter with the sweet (Easy come, easy go.) Easy come, easy go Don't take it personal Take the bitter with the sweet Some good things come to an end Don't take it personal Take the bitter with the sweet Easy come, easy go Don't take it personal Take the bitter with the sweet Some good things come to an end, baby Don't take it personal Take the bitter with the sweet Easy come, easy go"
