hip_hop_rnb,word,n,genre,tf,idf,tf_idf
1,you,6456,RnB / Hip Hop,0.04945534770418716,0,0
1,i,5297,RnB / Hip Hop,0.04057697905654885,0,0
1,the,3454,RnB / Hip Hop,0.026458917436533835,0,0
1,me,2913,RnB / Hip Hop,0.022314657351656938,0,0
1,to,2587,RnB / Hip Hop,0.01981737678295108,0,0
0,the,2546,Rock / Country,0.03746652147040645,0,0
1,and,2486,RnB / Hip Hop,0.019043679428842823,0,0
1,it,2447,RnB / Hip Hop,0.018744925004979242,0,0
0,i,2375,Rock / Country,0.034950113311946314,0,0
0,you,2371,Rock / Country,0.034891249963210406,0,0
1,my,2189,RnB / Hip Hop,0.016768549585573993,0,0
1,a,1943,RnB / Hip Hop,0.014884098604280615,0,0
1,oh,1701,RnB / Hip Hop,0.013030289102357862,0,0
1,that,1524,RnB / Hip Hop,0.01167440364020775,0,0
1,baby,1521,RnB / Hip Hop,0.011651422530679781,0,0
0,to,1512,Rock / Country,0.022250345822173823,0,0
1,yeah,1412,RnB / Hip Hop,0.010816442217830277,0,0
0,and,1394,Rock / Country,0.02051387703446449,0,0
1,i'm,1370,RnB / Hip Hop,0.010494706684438724,0,0
1,on,1308,RnB / Hip Hop,0.010019763754194052,0,0
1,love,1289,RnB / Hip Hop,0.00987421672718359,0,0
0,a,1254,Rock / Country,0.018453659828707655,0,0
0,me,1212,Rock / Country,0.017835594666980606,0,0
1,in,1144,RnB / Hip Hop,0.008763463099998469,0,0
1,your,1135,RnB / Hip Hop,0.008694519771414564,0,0
1,know,1078,RnB / Hip Hop,0.008257878690383172,0,0
1,be,1076,RnB / Hip Hop,0.00824255795069786,0,0
1,don't,991,RnB / Hip Hop,0.007591426514072099,0,0
0,it,958,Rock / Country,0.014097772022250345,0,0
1,so,936,RnB / Hip Hop,0.007170106172726019,0,0
1,all,896,RnB / Hip Hop,0.006863691379019779,0,0
1,like,890,RnB / Hip Hop,0.006817729159963843,0,0
1,do,882,RnB / Hip Hop,0.006756446201222595,0,0
1,no,882,RnB / Hip Hop,0.006756446201222595,0,0
1,we,857,RnB / Hip Hop,0.006564936955156195,0,0
0,in,839,Rock / Country,0.012346587397357035,0,0
