song,artist,hip_hop_rnb,lyrics,genre
(If You're Not in It for Love) I'm Outta Here!,Shania Twain,0,"Three, four, five Mind if I sit down? Can I buy you a round? Haven't seen your face before Are you new in town? It's the same old line Oh every time Are you here alone? Can I take you home? Now every woman sees With every ""pretty please"" There's a pair of lying eyes And a set of keys He says, ""come be a star"" (Ooh) In the back seat of my car Oh, but baby, slow down You're going way too far Let me make it clear To you, my dear, yeah If you're not In it for love If you're not Willing to give it all you got If you're not in it for life If you're not in it for love Let me make it clear To you, my dear You're not in it for love I'm outta here! Babe, I can change your world Make you a cover girl Yeah, you could be a beauty queen in a magazine Now tell me, what's your sign? (Ooh) Why always the same old line? I'll be in number 409 If you change your mind Let me make it clear To you, my dear If you're not In it for love If you're not Willing to give it all you got If you're not in it for life If you're not in it for love Let me make it clear To you, my dear You're not in it for love I'm outta here! If you're not in it for love, baby Willing to give it all you got Oh, if you're not in it for life If you're not in it for love If you're not in it for life If you're not in it for love I'm outta here!",Country / Rock
(This Ain't) No Thinkin' Thing,Trace Adkins,0,"I been thinkin' about our love situation All this attraction in the present tense I've reached the only logical conclusion Love ain't supposed to make sense This ain't no thinkin' thing, right brain, left brain It goes a little deeper than that It's a chemical, physical, emotional devotion Passion that we can't hold back There's nothin' that we need to analyze There ain't no rhyme, or reason why 'Cause this ain't, this ain't, no thinkin' thing Forget mathematical equations Self-help psychology Gray matter don't matter much darlin' When it's gettin' down to you and me, oh This ain't no thinkin' thing, right brain, left brain It goes a little deeper than that It's a chemical, physical, emotional devotion Passion that we can't hold back There's nothin' that we need to analyze There ain't no rhyme, or reason why 'Cause this ain't, this ain't, no thinkin' thing There's nothin' that we need to analyze There ain't no rhyme or reason why 'Cause this ain't, this ain't, no thinkin' thing This ain't, no this ain't, no thinkin' thing This ain't no thinkin' thing, girl, no No this ain't no thinkin' thing This ain't no thinkin' thing Ain't no thinkin' thing, girl This ain't no thinkin' thing, baby This ain't, this ain't, this ain't, no thinkin' thing This ain't no thinkin' thing",Country / Rock
1000hp,Godsmack,0,"Time to rewind Back to 1995 when we were nothing Walking through the streets of Boston no one listening No one caring about the empty rooms we played Until they all showed up one day Then we took the stage and everything changed Turn that shit up louder Make it all go faster Play it through the witching hour Take it to one thousand horsepower Under lights now Playing to the masses everything feels right Taking state by state by country over night Living in a shell entering every fight Seeing millions of people rage When we take our stage, everybody scream Turn that shit up louder Make it all go faster Play it through the witching hour Take it to one thousand horsepower Turn it up one more time Get it up get it up, and feel alive Turn it up turn it up one more time Get it up get it up, and feel alive Turn it up turn it up one more time Get it up get it up, and feel alive Turn it up turn it up one more time Get it up get it up, and feel alive! Yeah! Turn that shit up louder Make it all go faster Play it through the witching hour Take it to one thousand horsepower Turn that shit up louder Make it all go faster Playing through the witching hour Take it to one thousand horsepower",Country / Rock
16,Highly Suspect,0,"It took me sixteen years to find ya One  second to love ya Seven  years to hold ya One minute to lose ya Oh, God Where  did I go wrong? Oh,  God Do you remember All  of the nasty shit you used to do with me? 'Cause I remember everything And do you remember When we hopped the P and B to NYC? You  were only seventeen But that puppy love is over We're so much older Nothing's ever gonna feel the same way That it did when we were younger I wish that I could hold ya Baby, I know it's over We're never gonna feel it again, yeah It took me sixteen years to find ya One second to love ya Seven years to hold ya One minute to lose ya Oh, God, eh Where did I go wrong? Yeah Do you remember Oh, when I was your king and you were my queen? Yeah, 'cause I remember everything Do you remember When you told me you were holding my future kid? Eh And all the joy that that would bring Well, I thought I was the father But baby, it's not my daughter 'Cause baby's a different color And baby, I'm not a brother It was just too much to swallow You ripped my heart out But that puppy love is over We're so much older Nothing's ever gonna feel the same way That it did when we were younger I wish I could hold ya But baby, I know that it's over We're never gonna feel it again Well, it took me sixteen years to find ya One second to love ya Seven years to hold ya And just one minute to lose ya Oh, God, yeah Where did I go wrong? Yeah Like where did you go? Oh And I'll say I'm sorry If I ever see you again, oh woah, oh 'Cause on that day, I'll walk away When you probably needed a friend It took me sixteen years to find ya One second to love ya I don't trust you But I still love you Oh, God Where did I go wrong? Where did you go? Where did I go wrong? Baby, it took me sixteen years to find ya But only a second to love ya Seven years to hold ya And just one minute to lose ya Oh, God, yeah Where did I go wrong? Yeah Where did you go? Yeah Where did we go wrong? Said, where did we go wrong? Where did I go wrong? Yeah Oh yeah",Country / Rock
21 Questions,50 Cent,1,"New York City You are now rockin' With 50 Cent You gotta love it I just wanna chill and twist the lye Catch stunts in my 7-45 You drive me crazy, shorty, I Need to see you and feel you next to me I provide everything you need, and I Like your smile, I don't want to see you cry Got some questions that I got to ask And I hope you can come up with the answers, babe Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me? Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me? If I fell off tomorrow, would you still love me? If I didn't smell so good, would you still hug me? If I got locked up and sentenced to a quarter century Could I count on you to be there to support me mentally? If I went back to a hooptie from a Benz Would you poof and disappear like some of my friends? If I was hit and I was hurt, would you be by my side? If it was time to put in work, would you be down to ride? I get out and peel a nigga cap, chill and drive I'm askin' questions to find out how you feel inside If I ain't rap 'cause I flip burgers at Burger King Would you be ashamed to tell your friends you're feelin' me? In the bed, if I used my tongue, would you like that? If I wrote you a love letter, would you write back? Now, we could have a little drink, you know, a nightcap And we could go do what you like, I know you like that (Like that) Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me? Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me? Now would you leave me if your father found out I was thuggin'? Do you believe me when I tell you, you the one I'm lovin'? Are you mad ‘cause I'm askin' you twenty-one questions? Are you my soulmate? ‘Cause if so, girl, you a blessing Do you trust me enough to tell me your dreams? I'm starin' at you, tryna figure how you got in them jeans If I was down, would you say things to make me smile? I'll treat you how you want to be treated, just teach me how If I was with some other chick and someone happened to see And when you asked me about it I said it wasn't me Would you believe me, or up and leave me? How deep is our bond if that's all it takes for you to be gone? We only humans, girl, we make mistakes To make it up, I'll do whatever it take I love you like a fat kid love cake You know my style, I say anything to make you smile Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me? Girl, it's easy to love me now Would you love me if I was down and out? Would you still have love for me? Could you love me in a Bentley? Could you love me on a bus? I'll ask twenty-one questions and they all about us Could you love me in a Bentley? Could you love me on a bus? I'll ask twenty-one questions and they all about us",Hip Hop / RnB
911 Is a Joke,Public Enemy,1,"Hit me! ""Somebody call an ambulance!"" ""There's not a minute to spare"" ""Don't worry"" ""Haha very funny mother-"" ""There's not a minute to spare"" ""Don't worry"" Going, going, gone! Now I dialed 911 a long time ago Don't you see how late they're reacting? They only come and they come when they wanna So get the morgue truck and embalm the goner They don't care 'cause they stay paid anyway They treat you like an ace that can't beat a trey A no-use number with no-use people If your life is on the line then you're dead today Latecomers with the late coming stretcher That's a body bag in disguise y'all, I'll betcha I call 'em body snatchers cause they come to fetch ya With an autopsy ambulance just to dissect ya They are the kings cause they swing amputation Lose you arms or legs to their miscalculation I can prove it to you, watch the rotation It all adds up to a fucked up situation So get up, get, get, get down 911 is a joke in yo town Get up, get, get, get down Late 911 wears the late crown So get up get, get get down 911 is a joke in yo town Get up, get, get, get down Late 911 wears the late crown 911 is a joke 911 is a joke Everyday they don't never come correct You can ask my man right here with the broken neck He's a witness to the job never being done He would've been in full effect But late 911 was a joke cause they only joking They the token to your life when it's croaking They need to be in a pawn shop on a 911 is a joke we don't want 'em I call a cab cause a cab will come quicker The doctors huddle up and call a flea flicker Reason why I say that cause they flick you off like fleas They be laughing at you while you're crawling on your knees And to the strength so go the length Thinkin' you are first when you really are tenth You better wake up and smell the real flavor Cause 911 is a fake life saver So get up get, get get down 911 is a joke in yo town Get up, get, get, get down Late 911 wears the late crown So get up get, get get down 911 is a joke in yo town Get up, get, get, get down Late 911 wears the late crown Ahh Flavor Flav says Ahh So get up get, get get down 911 is a joke in yo town Get up, get, get, get down Late 911 wears the late crown So get up get, get get down 911 is a joke in yo town Get up, get, get, get down Late 911 wears the late crown",Hip Hop / RnB
A Better Man,Clint Black,0,"What do you say when it's over? I don't know if I should say anything at all One day we're rollin' in the clover Next thing, you know, we take the fall Still, I think about the years since I first met you And the way it might have been without you here I don't know if words from me can still upset you But I've just gotta make this memory stand clear I know I'm leavin' here a better man For knowin' you this way Things I couldn't do before now I think I can And I'm leavin' here a better man I guess, I always knew I couldn't hold you But I'd never be the one to set you free Just like some old nursery rhyme your Mama told you You still believe in some old, 'meant to be' Still, I'm leavin' here a better man For knowin' you this way Things I couldn't do before now I think I can And I'm leavin' here a better man Yes, I'm leavin' here a better man For knowin' you this way Things I couldn't do before now I know I can And I'm leavin' here a better man (Ooo ooo ooo) Yes, I'm leavin' here a better man",Country / Rock
A Broken Wing,Martina McBride,0,"She loved him like he was The last man on Earth Gave him everything she ever had He'd break her spirit down Then come loving up on her Give a little, then take it back She'd tell him about her dreams He'd just shoot 'em down Lord he loved to make her cry ""You're crazy for believing You'll ever leave the ground"" He said, ""Only angels know how to fly"" And with a broken wing She still sings She keeps an eye on the sky With a broken wing She carries her dreams Man, you ought to see her fly One Sunday morning She didn't go to church He wondered why she didn't leave He went up to the bedroom Found a note by the window With the curtains blowin' in the breeze And with a broken wing She still sings She keeps an eye on the sky With a broken wing She carries her dreams Man, you ought to see her fly With a broken wing She carries her dreams Man, you ought to see her Flyyyyyyyyyyyyy With a broken wing",Country / Rock
A Good Run of Bad Luck,Clint Black,0,"A high roller even when the chips are down To win her over, I'd seen the tables turn around She's ten the hard way, I can feel it in my bones She'll be makin' my day and not another night alone 'Til it's time for a windfall and not a single minute too soon I've been too long overdue, now I'm gonna shoot the moon I'd bet it all on a good run of bad luck Seven come eleven and she could be mine Luck be a lady, and I'm gonna find love Comin' on the bottom line I've been to the table, and I've lost it all before I'm willin' and able, always comin' back for more Squeezin' out a thin dime 'til there's no one hanging on my arm I've gambled on a third time, a fool will tell you it's a charm If I'm bettin' on a loser, I'm gonna have a devil to pay But it's the only game I know to play, it doesn't matter anyway I'd bet it all on a good run of bad luck Seven come eleven and she could be mine Luck be a lady, and I'm gonna find love Comin' on the bottom line Bet it all on a good run of bad luck Seven come eleven and she could be mine Luck be a lady, and I'm gonna find love Comin' on the bottom line",Country / Rock
A Guy Walks Into a Bar,Tyler Farr,0,"The joke's on me and it ain't funny Everybody but me could see the punch line coming A mile away I've heard it so many times I can tell it To the T, believe me I could sell it All day It goes... A guy walks into a bar, orders a drink Sees a girl that catches his eye Asks her if she wants another They fall for each other and end up lovers They laugh, cry, hold on tight Make it work for a little while Then one night her taillights fade out into the dark And a guy walks into a bar I'd laugh too if my heart would let me Keeping it light will probably help to get me Over you I'm walking, talking, drinking proof A cliché in a corner booth Ain't nothing new A guy walks into a bar, orders a drink Sees a girl that catches his eye Asks her if she wants another They fall for each other and end up lovers They laugh, cry, hold on tight Make it work for a little while Then one night her taillights fade out into the dark And a guy walks into a bar A guy walks into a bar, orders a drink Sees a girl that catches his eye Asks her if she wants another They fall for each other and end up lovers They laugh, cry, hold on tight Make it work for a little while Then one night her taillights fade out into the dark And a guy walks into a bar",Country / Rock
