song	artist	hip_hop_rnb	lyrics
(If You're Not in It for Love) I'm Outta Here!	Shania Twain	0	Three, four, five Mind if I sit down? Can I buy you a round? Haven't seen your face before Are you new in town? It's the same old line Oh every time Are you here alone? Can I take you home? Now every woman sees With every ""pretty please"" There's a pair of lying eyes And a set of keys He says, ""come be a star"" (Ooh) In the back seat of my car Oh, but baby, slow down You're going way too far Let me make it clear To you, my dear, yeah If you're not In it for love If you're not Willing to give it all you got If you're not in it for life If you're not in it for love Let me make it clear To you, my dear You're not in it for love I'm outta here! Babe, I can change your world Make you a cover girl Yeah, you could be a beauty queen in a magazine Now tell me, what's your sign? (Ooh) Why always the same old line? I'll be in number 409 If you change your mind Let me make it clear To you, my dear If you're not In it for love If you're not Willing to give it all you got If you're not in it for life If you're not in it for love Let me make it clear To you, my dear You're not in it for love I'm outta here! If you're not in it for love, baby Willing to give it all you got Oh, if you're not in it for life If you're not in it for love If you're not in it for life If you're not in it for love I'm outta here!
(This Ain't) No Thinkin' Thing	Trace Adkins	0	I been thinkin' about our love situation All this attraction in the present tense I've reached the only logical conclusion Love ain't supposed to make sense This ain't no thinkin' thing, right brain, left brain It goes a little deeper than that It's a chemical, physical, emotional devotion Passion that we can't hold back There's nothin' that we need to analyze There ain't no rhyme, or reason why 'Cause this ain't, this ain't, no thinkin' thing Forget mathematical equations Self-help psychology Gray matter don't matter much darlin' When it's gettin' down to you and me, oh This ain't no thinkin' thing, right brain, left brain It goes a little deeper than that It's a chemical, physical, emotional devotion Passion that we can't hold back There's nothin' that we need to analyze There ain't no rhyme, or reason why 'Cause this ain't, this ain't, no thinkin' thing There's nothin' that we need to analyze There ain't no rhyme or reason why 'Cause this ain't, this ain't, no thinkin' thing This ain't, no this ain't, no thinkin' thing This ain't no thinkin' thing, girl, no No this ain't no thinkin' thing This ain't no thinkin' thing Ain't no thinkin' thing, girl This ain't no thinkin' thing, baby This ain't, this ain't, this ain't, no thinkin' thing This ain't no thinkin' thing
1 Thing	Amerie	1	Woo! Uh Woo! Na-na-na-na-na, oh (Uh, uh) Na-na-na-na-na, oh (Uh, uh) Na-na-na-na-na, oh (Uh, uh) Na-na-na-na-na Oh, been trying to let it go Trying to keep my eyes closed Trying to keep it just like before The times we never even thought to speak Don't wanna tell you what it is Ooh-wee, it felt so serious Got me thinking just too much I wanna set it off, but It's this one thing that got me trippin' It's this one thing that got me trippin' (You did) This one thing, your soul made me feelin' It's this one thing you did, oh-oh-oh-oh-oh It's this one thing that caught me slippin' It's this one thing, I want to admit it (You did) This one thing and I was so with it It's this one thing you did, oh-oh-oh-oh-oh Hey, we don't know each other well So why I keep picking up my cell? Memories just keep ringing bells Oh, oh, oh, oh, oh Hear voices I don't want to understand My car keys are jingling in my hand My high heels are clicking towards your door Oh, oh, oh, oh, oh It's this one thing that got me trippin' (Ooh) It's this one thing that got me trippin' (You did) This one thing, your soul made me feelin' (Yeah) It's this one thing you did, oh-oh-oh-oh-oh It's this one thing that caught me slippin' (Oh-oh) It's this one thing, I want to admit it (You did) (Oh, oh) This one thing and I was so with it (Yeah) It's this one thing you did, oh-oh-oh-oh-oh And maybe I just can't believe it It's this one thing you did, oh-oh-oh-oh-oh I can't deny, tired of trying Nothing left to do but to keep on seeing you I'm hoping you can keep a secret For me, for me, for me But what you did, yeah It's this one thing that got me trippin' It's this one thing that got me trippin' (You did) (Oh, no) This one thing, your soul made me feelin' (Oh) It's this one thing you did, oh-oh-oh-oh-oh It's this one thing that caught me slippin' (Caught me slippin') It's this one thing, I want to admit it (You did) (No) This one thing and I was so with it (Hey) It's this one thing you did, oh-oh-oh-oh-oh Oh, oh, oh (I can't help it, it's just something) Oh-oh-oh-oh-oh Oh, oh, oh (It's just, I don't know) Oh-oh-oh-oh-oh Oh, oh, oh (This thing) Oh-oh-oh-oh-oh Oh, oh, oh (I don't wanna fight it) Oh-oh-oh-oh-oh Na-na-na-na-na, oh Oh, na-na-na-na-na, oh Na-na-na-na-na, oh Na-na-na-na-na, oh (Oh-ooh) Na-na-na-na-na (Don't know what it is, hey) It's this one thing that got me trippin' It's this one thing that got me trippin' (You did) This one thing, your soul made me feelin' It's this one thing you did, oh-oh-oh-oh-oh It's this one thing that caught me slippin' (Oh) It's this one thing, I want to admit it (You did) This one thing and I was so with it (Hey, hey) It's this one thing you did, oh-oh-oh-oh-oh It's this one thing that got me trippin' (This just one thing you did) It's this one thing that got me trippin' (You did) (Hey, no) This one thing, your soul made me feelin' It's this one thing you did, oh-oh-oh-oh-oh (Uh, oh, oh, oh) It's this one thing that caught me slippin' It's this one thing, I want to admit it (You did) This one thing and I was so with it It's this one thing you did, oh-oh-oh-oh-oh Oh-oh-oh-oh-oh Oh, oh, oh Oh-oh-oh-oh-oh Oh-oh-oh-oh-oh Oh, oh, oh Oh-oh-oh-oh-oh Oh-oh-oh-oh-oh
1000hp	Godsmack	0	Time to rewind Back to 1995 when we were nothing Walking through the streets of Boston no one listening No one caring about the empty rooms we played Until they all showed up one day Then we took the stage and everything changed Turn that shit up louder Make it all go faster Play it through the witching hour Take it to one thousand horsepower Under lights now Playing to the masses everything feels right Taking state by state by country over night Living in a shell entering every fight Seeing millions of people rage When we take our stage, everybody scream Turn that shit up louder Make it all go faster Play it through the witching hour Take it to one thousand horsepower Turn it up one more time Get it up get it up, and feel alive Turn it up turn it up one more time Get it up get it up, and feel alive Turn it up turn it up one more time Get it up get it up, and feel alive Turn it up turn it up one more time Get it up get it up, and feel alive! Yeah! Turn that shit up louder Make it all go faster Play it through the witching hour Take it to one thousand horsepower Turn that shit up louder Make it all go faster Playing through the witching hour Take it to one thousand horsepower
16	Highly Suspect	0	It took me sixteen years to find ya One  second to love ya Seven  years to hold ya One minute to lose ya Oh, God Where  did I go wrong? Oh,  God Do you remember All  of the nasty shit you used to do with me? 'Cause I remember everything And do you remember When we hopped the P and B to NYC? You  were only seventeen But that puppy love is over We're so much older Nothing's ever gonna feel the same way That it did when we were younger I wish that I could hold ya Baby, I know it's over We're never gonna feel it again, yeah It took me sixteen years to find ya One second to love ya Seven years to hold ya One minute to lose ya Oh, God, eh Where did I go wrong? Yeah Do you remember Oh, when I was your king and you were my queen? Yeah, 'cause I remember everything Do you remember When you told me you were holding my future kid? Eh And all the joy that that would bring Well, I thought I was the father But baby, it's not my daughter 'Cause baby's a different color And baby, I'm not a brother It was just too much to swallow You ripped my heart out But that puppy love is over We're so much older Nothing's ever gonna feel the same way That it did when we were younger I wish I could hold ya But baby, I know that it's over We're never gonna feel it again Well, it took me sixteen years to find ya One second to love ya Seven years to hold ya And just one minute to lose ya Oh, God, yeah Where did I go wrong? Yeah Like where did you go? Oh And I'll say I'm sorry If I ever see you again, oh woah, oh 'Cause on that day, I'll walk away When you probably needed a friend It took me sixteen years to find ya One second to love ya I don't trust you But I still love you Oh, God Where did I go wrong? Where did you go? Where did I go wrong? Baby, it took me sixteen years to find ya But only a second to love ya Seven years to hold ya And just one minute to lose ya Oh, God, yeah Where did I go wrong? Yeah Where did you go? Yeah Where did we go wrong? Said, where did we go wrong? Where did I go wrong? Yeah Oh yeah
19 Somethin'	Mark Wills	0	Woo Oh yeah I saw Star Wars at least eight times Had the Pac-Man pattern memorized And I've seen the stuff they put inside Stretch Armstrong, yeah Oh, I was Roger Staubach in my backyard Had a shoebox full of baseball cards And a couple of Evel Knievel scars on my arm Well, I was a kid when Elvis died And my mama cried It was 1970-something In the world that I grew up in Farrah Fawcett hair-do days Bell-bottoms and eight-track tapes Lookin' back now I can see me And oh, man, did I look cheesy But I wouldn't trade those days for nothin' Oh, it was 1970-something, yeah It was the dawning of a new decade We got our first microwave And Dad broke down and finally shaved them old sideburns off I took the stickers off of my Rubik's Cube Watched MTV all afternoon My first love was Daisy Duke in them cut-off jeans A space shuttle fell out of the sky And the whole world cried It was 1980-something In the world that I grew up in Skating rinks and black Trans Ams Big hair and parachute pants And lookin' back now I can see me And oh, man, did I look cheesy I wouldn't trade those days for nothin' Oh, it was 1980-something Now I got a mortgage and an SUV But all this responsibility Makes me wish (Wish) sometimes (Sometimes) It was 1980-something In the world that I grew up in Skating rinks and black Trans Ams Big hair and parachute pants And lookin' back now I can see me And oh, man, did I look cheesy I wouldn't trade those days for nothin' Oh, it was 1980-something 1970-something Aw, it was 19-something
911 Is a Joke	Public Enemy	1	Hit me! ""Somebody call an ambulance!"" ""There's not a minute to spare"" ""Don't worry"" ""Haha very funny mother-"" ""There's not a minute to spare"" ""Don't worry"" Going, going, gone! Now I dialed 911 a long time ago Don't you see how late they're reacting? They only come and they come when they wanna So get the morgue truck and embalm the goner They don't care 'cause they stay paid anyway They treat you like an ace that can't beat a trey A no-use number with no-use people If your life is on the line then you're dead today Latecomers with the late coming stretcher That's a body bag in disguise y'all, I'll betcha I call 'em body snatchers cause they come to fetch ya With an autopsy ambulance just to dissect ya They are the kings cause they swing amputation Lose you arms or legs to their miscalculation I can prove it to you, watch the rotation It all adds up to a fucked up situation So get up, get, get, get down 911 is a joke in yo town Get up, get, get, get down Late 911 wears the late crown So get up get, get get down 911 is a joke in yo town Get up, get, get, get down Late 911 wears the late crown 911 is a joke 911 is a joke Everyday they don't never come correct You can ask my man right here with the broken neck He's a witness to the job never being done He would've been in full effect But late 911 was a joke cause they only joking They the token to your life when it's croaking They need to be in a pawn shop on a 911 is a joke we don't want 'em I call a cab cause a cab will come quicker The doctors huddle up and call a flea flicker Reason why I say that cause they flick you off like fleas They be laughing at you while you're crawling on your knees And to the strength so go the length Thinkin' you are first when you really are tenth You better wake up and smell the real flavor Cause 911 is a fake life saver So get up get, get get down 911 is a joke in yo town Get up, get, get, get down Late 911 wears the late crown So get up get, get get down 911 is a joke in yo town Get up, get, get, get down Late 911 wears the late crown Ahh Flavor Flav says Ahh So get up get, get get down 911 is a joke in yo town Get up, get, get, get down Late 911 wears the late crown So get up get, get get down 911 is a joke in yo town Get up, get, get, get down Late 911 wears the late crown
A Better Man	Clint Black	0	What do you say when it's over? I don't know if I should say anything at all One day we're rollin' in the clover Next thing, you know, we take the fall Still, I think about the years since I first met you And the way it might have been without you here I don't know if words from me can still upset you But I've just gotta make this memory stand clear I know I'm leavin' here a better man For knowin' you this way Things I couldn't do before now I think I can And I'm leavin' here a better man I guess, I always knew I couldn't hold you But I'd never be the one to set you free Just like some old nursery rhyme your Mama told you You still believe in some old, 'meant to be' Still, I'm leavin' here a better man For knowin' you this way Things I couldn't do before now I think I can And I'm leavin' here a better man Yes, I'm leavin' here a better man For knowin' you this way Things I couldn't do before now I know I can And I'm leavin' here a better man (Ooo ooo ooo) Yes, I'm leavin' here a better man
A Broken Wing	Martina McBride	0	She loved him like he was The last man on Earth Gave him everything she ever had He'd break her spirit down Then come loving up on her Give a little, then take it back She'd tell him about her dreams He'd just shoot 'em down Lord he loved to make her cry ""You're crazy for believing You'll ever leave the ground"" He said, ""Only angels know how to fly"" And with a broken wing She still sings She keeps an eye on the sky With a broken wing She carries her dreams Man, you ought to see her fly One Sunday morning She didn't go to church He wondered why she didn't leave He went up to the bedroom Found a note by the window With the curtains blowin' in the breeze And with a broken wing She still sings She keeps an eye on the sky With a broken wing She carries her dreams Man, you ought to see her fly With a broken wing She carries her dreams Man, you ought to see her Flyyyyyyyyyyyyy With a broken wing
A Good Run of Bad Luck	Clint Black	0	A high roller even when the chips are down To win her over, I'd seen the tables turn around She's ten the hard way, I can feel it in my bones She'll be makin' my day and not another night alone 'Til it's time for a windfall and not a single minute too soon I've been too long overdue, now I'm gonna shoot the moon I'd bet it all on a good run of bad luck Seven come eleven and she could be mine Luck be a lady, and I'm gonna find love Comin' on the bottom line I've been to the table, and I've lost it all before I'm willin' and able, always comin' back for more Squeezin' out a thin dime 'til there's no one hanging on my arm I've gambled on a third time, a fool will tell you it's a charm If I'm bettin' on a loser, I'm gonna have a devil to pay But it's the only game I know to play, it doesn't matter anyway I'd bet it all on a good run of bad luck Seven come eleven and she could be mine Luck be a lady, and I'm gonna find love Comin' on the bottom line Bet it all on a good run of bad luck Seven come eleven and she could be mine Luck be a lady, and I'm gonna find love Comin' on the bottom line
