song,artist,hip_hop_rnb,lyrics,genre
1 Thing,Amerie,1,NA,Hip Hop / RnB
"10,000 Hours",Dan + Shay and Justin Bieber,0,NA,Country / Rock
19 Somethin',Mark Wills,0,NA,Country / Rock
5-1-5-0,Dierks Bentley,0,NA,Country / Rock
7/11,Beyonce,1,NA,Hip Hop / RnB
Addicted to You,LeVert,1,NA,Hip Hop / RnB
After All This Time,Rodney Crowell,0,NA,Country / Rock
Ain't Goin' Down ('Til the Sun Comes Up),Garth Brooks,0,NA,Country / Rock
Ain't Nuthin' in the World,Miki Howard,1,NA,Hip Hop / RnB
All-American Girl,Carrie Underwood,0,NA,Country / Rock
All for You,Janet,1,NA,Hip Hop / RnB
All My Life,K-Ci & JoJo,1,NA,Hip Hop / RnB
All to Myself,Dan + Shay,0,NA,Country / Rock
Alright,Darius Rucker,0,NA,Country / Rock
American Honky-Tonk Bar Association,Garth Brooks,0,NA,Country / Rock
Animal I Have Become[64],Three Days Grace,0,NA,Country / Rock
Anymore,Travis Tritt,0,NA,Country / Rock
Are You Lonely for Me,The Rude Boys,1,NA,Hip Hop / RnB
Baby-Baby-Baby,TLC,1,NA,Hip Hop / RnB
Baby Hold On To Me,Gerald Levert with Eddie Levert,1,NA,Hip Hop / RnB
Ballin' Boy,No Good,1,NA,Hip Hop / RnB
Banned in the U.S.A.,Luke,1,NA,Hip Hop / RnB
Be Yourself,Audioslave,0,NA,Country / Rock
Beer for My Horses,Toby Keith duet with Willie Nelson,0,NA,Country / Rock
Before You Walk out of My Life / Like This and Like That,Monica,1,NA,Hip Hop / RnB
Berzerk,Eminem,1,NA,Hip Hop / RnB
Big Green Tractor,Jason Aldean,0,NA,Country / Rock
Black Beatles,Rae Sremmurd,1,NA,Hip Hop / RnB
Blame It,Jamie Foxx,1,NA,Hip Hop / RnB
Blame It on Your Heart,Patty Loveless,0,NA,Country / Rock
Blurry[21],Puddle of Mudd,0,NA,Country / Rock
Bodak Yellow (Money Moves),Cardi b,1,NA,Hip Hop / RnB
Boombastic / In the Summertime,Shaggy,1,NA,Hip Hop / RnB
Born to Fly,Sara Evans,0,NA,Country / Rock
Bounce with Me,Lil' Bow Wow,1,NA,Hip Hop / RnB
Break (2010)[100],Three Days Grace,0,NA,Country / Rock
Break[4],Three Days Grace,0,NA,Country / Rock
Breakdown,Tantric,0,NA,Country / Rock
Bring On the Rain,Jo Dee Messina with Tim McGraw,0,NA,Country / Rock
Broken Halos,Chris Stapleton,0,NA,Country / Rock
Brother Jukebox,Mark Chesnutt,0,NA,Country / Rock
Bulletproof[20],Godsmack,0,NA,Country / Rock
Bully[8],Shinedown,0,NA,Country / Rock
Buy Me a Rose,Kenny Rogers with Alison Krauss & Billy Dean,0,NA,Country / Rock
Buy U a Drank (Shawty Snappin'),T-Pain,1,NA,Hip Hop / RnB
By Crooked Steps,Soundgarden,0,NA,Country / Rock
"Bye, Bye",Jo Dee Messina,0,NA,Country / Rock
Californication,Red Hot Chili Peppers,0,NA,Country / Rock
Call Me,Phil Perry,1,NA,Hip Hop / RnB
Call Me D-Nice,D-Nice,1,NA,Hip Hop / RnB
Call on Me,Janet with Nelly,1,NA,Hip Hop / RnB
