song,artist,hip_hop_rnb,genre,word,n,song_artist,tf,idf,tf_idf
I Love Your Smile,Shanice,1,RnB / Hip Hop,doo,253,I Love Your Smile - Shanice,0.7067039106145251,4.808111029984782,3.3979108675590775
Baby,Brandy,1,RnB / Hip Hop,yeah,196,Baby - Brandy,0.5038560411311054,0.5886033248086749,0.2965713410347051
See You Again,Wiz Khalifa,1,RnB / Hip Hop,ooh,114,See You Again - Wiz Khalifa,0.3986013986013986,1.4494732627414222,0.5777620697640634
Say My Name,Destiny's Child,1,RnB / Hip Hop,yeah,110,Say My Name - Destiny's Child,0.3426791277258567,0.5886033248086749,0.20170207392197584
Boom Boom Pow,The Black Eyed Peas,1,RnB / Hip Hop,boom,109,Boom Boom Pow - The Black Eyed Peas,0.3824561403508772,4.808111029984782,1.8388915869064606
Giving You the Benefit,Pebbles,1,RnB / Hip Hop,giving,104,Giving You the Benefit - Pebbles,0.4351464435146444,3.3040336332085074,1.437738484743451
Nothin' on You,B.o.B,1,RnB / Hip Hop,na,104,Nothin' on You - B.o.B,0.18439716312056736,3.997180813768453,0.7370688025388636
My Body,LSG,1,RnB / Hip Hop,body,102,My Body - LSG,0.4927536231884058,2.6108864526485625,1.2865237592761034
Nothin' on You,B.o.B,1,RnB / Hip Hop,nothin,90,Nothin' on You - B.o.B,0.1595744680851064,2.9363088530831902,0.4685599233643389
Baby,Brandy,1,RnB / Hip Hop,baby,86,Baby - Brandy,0.2210796915167095,0.8616865978393031,0.19050140723439607
Crank That (Soulja Boy),Soulja Boy,1,RnB / Hip Hop,watch,78,Crank That (Soulja Boy) - Soulja Boy,0.20526315789473684,2.8622008809294686,0.5875043913486804
Something in the Way (You Make Me Feel),Stephanie Mills,1,RnB / Hip Hop,feel,76,Something in the Way (You Make Me Feel) - Stephanie Mills,0.5100671140939598,1.0704414117014134,0.5459969616732042
This Is Why I'm Hot,Mims,1,RnB / Hip Hop,hot,68,This Is Why I'm Hot - Mims,0.26459143968871596,2.8271095611181982,0.7480289889339979
Hot in Here,Nelly,1,RnB / Hip Hop,uh,66,Hot in Here - Nelly,0.20625,2.2823823856765264,0.47074136704578357
Party Like a Rockstar,Shop Boyz,1,RnB / Hip Hop,party,66,Party Like a Rockstar - Shop Boyz,0.22073578595317725,3.1986731175506815,0.7060616246098494
Separated,Avant,1,RnB / Hip Hop,yeah,62,Separated - Avant,0.33513513513513515,0.5886033248086749,0.19726165480074512
Nothin' on You,B.o.B,1,RnB / Hip Hop,baby,60,Nothin' on You - B.o.B,0.10638297872340426,0.8616865978393031,0.09166878700418118
My Lovin' (You're Never Gonna Get It),En Vogue,1,RnB / Hip Hop,gonna,58,My Lovin' (You're Never Gonna Get It) - En Vogue,0.3005181347150259,1.3040562628829184,0.3918925556850221
Crank That (Soulja Boy),Soulja Boy,1,RnB / Hip Hop,crank,56,Crank That (Soulja Boy) - Soulja Boy,0.14736842105263157,6.194405391104672,0.9128597418470042
Crank That (Soulja Boy),Soulja Boy,1,RnB / Hip Hop,boy,54,Crank That (Soulja Boy) - Soulja Boy,0.14210526315789473,2.243161672523245,0.318765079779619
Crank That (Soulja Boy),Soulja Boy,1,RnB / Hip Hop,soulja,54,Crank That (Soulja Boy) - Soulja Boy,0.14210526315789473,6.194405391104672,0.8802576082096113
Don't Wanna Change the World,Phyllis Hyman,1,RnB / Hip Hop,wanna,52,Don't Wanna Change the World - Phyllis Hyman,0.25742574257425743,1.1639674697122369,0.2996351902229521
Devil,Shinedown,0,Rock / Country,heavy,51,Devil - Shinedown,0.37777777777777777,4.402645921876617,1.6632217927089443
Separated,Avant,1,RnB / Hip Hop,mmmm,51,Separated - Avant,0.2756756756756757,4.808111029984782,1.3254792569147238
Friend of Mine,Kelly Price,1,RnB / Hip Hop,yeah,50,Friend of Mine - Kelly Price,0.2857142857142857,0.5886033248086749,0.16817237851676425
Nice for What,Drake,1,RnB / Hip Hop,gotta,50,Nice for What - Drake,0.10548523206751055,1.7057690213725325,0.17993344107305195
Thrift Shop,Macklemore and Ryan Lewis,1,RnB / Hip Hop,da,50,Thrift Shop - Macklemore and Ryan Lewis,0.07575757575757576,4.248495242049359,0.3218557001552545
I'm Your Baby Tonight,Whitney Houston,1,RnB / Hip Hop,baby,49,I'm Your Baby Tonight - Whitney Houston,0.28654970760233917,0.8616865978393031,0.24691604265570674
Love Saw It,Karyn White,1,RnB / Hip Hop,love,49,Love Saw It - Karyn White,0.2737430167597765,0.6729444732424258,0.18421385021720035
Can't Be Friends,Trey Songz,1,RnB / Hip Hop,la,48,Can't Be Friends - Trey Songz,0.4528301886792453,4.114963849424837,1.8633798563433224
Rats,Ghost,0,Rock / Country,rats,47,Rats - Ghost,0.4519230769230769,5.501258210544727,2.4861455374577135
Exhale (Shoop Shoop),Whitney Houston,1,RnB / Hip Hop,shoop,46,Exhale (Shoop Shoop) - Whitney Houston,0.2948717948717949,6.194405391104672,1.8265554358385572
Party Like a Rockstar,Shop Boyz,1,RnB / Hip Hop,yeah,46,Party Like a Rockstar - Shop Boyz,0.15384615384615385,0.5886033248086749,0.09055435766287308
Whoomp! (There It Is),Tag Team,1,RnB / Hip Hop,whoomp,46,Whoomp! (There It Is) - Tag Team,0.16666666666666666,6.194405391104672,1.0324008985174453
1 Thing,Amerie,1,RnB / Hip Hop,na,45,1 Thing - Amerie,0.3333333333333333,3.997180813768453,1.3323936045894842
She Hates Me,Puddle of Mudd,0,Rock / Country,la,45,She Hates Me - Puddle of Mudd,0.36,4.114963849424837,1.4813869857929411
I Wanna Be Down,Brandy,1,RnB / Hip Hop,wanna,44,I Wanna Be Down - Brandy,0.3055555555555556,1.1639674697122369,0.35565672685651684
That's the Way Love Goes,Janet Jackson,1,RnB / Hip Hop,love,44,That's the Way Love Goes - Janet Jackson,0.35772357723577236,0.6729444732424258,0.24072810424932306
Just Because,Anita Baker,1,RnB / Hip Hop,love,43,Just Because - Anita Baker,0.3467741935483871,0.6729444732424258,0.23335977701148639
What You Know,T.I.,1,RnB / Hip Hop,ayy,43,What You Know - T.I.,0.14625850340136054,3.5553480614894135,0.51999988654437
Baby I'm Ready,LeVert,1,RnB / Hip Hop,baby,42,Baby I'm Ready - LeVert,0.25766871165644173,0.8616865978393031,0.22202967551687566
Crank That (Soulja Boy),Soulja Boy,1,RnB / Hip Hop,yuu,42,Crank That (Soulja Boy) - Soulja Boy,0.11052631578947368,5.501258210544727,0.6080338022181014
Remember the Time,Michael Jackson,1,RnB / Hip Hop,remember,42,Remember the Time - Michael Jackson,0.2709677419354839,2.43320527541111,0.6593201391436557
Jerk Out,The Time,1,RnB / Hip Hop,jerk,41,Jerk Out - The Time,0.13015873015873017,5.501258210544727,0.71603678295979
Baby Come to Me,Regina Belle,1,RnB / Hip Hop,baby,40,Baby Come to Me - Regina Belle,0.2857142857142857,0.8616865978393031,0.24619617081122946
Missing You,Case,1,RnB / Hip Hop,yeah,40,Missing You - Case,0.25316455696202533,0.5886033248086749,0.1490134999515633
Real Love,Mary J. Blige,1,RnB / Hip Hop,love,40,Real Love - Mary J. Blige,0.25157232704402516,0.6729444732424258,0.16929420710501278
The Boy Is Mine,Brandy and Monica,1,RnB / Hip Hop,mine,40,The Boy Is Mine - Brandy and Monica,0.23809523809523808,2.4102157571864113,0.5738608945681931
What I've Done,Linkin Park,0,Rock / Country,na,40,What I've Done - Linkin Park,0.5970149253731343,3.997180813768453,2.386376605234897
Around the Way Girl,LL Cool J,1,RnB / Hip Hop,shook,39,Around the Way Girl - LL Cool J,0.18840579710144928,5.501258210544727,1.0364689382185719
Party Like a Rockstar,Shop Boyz,1,RnB / Hip Hop,rockstar,39,Party Like a Rockstar - Shop Boyz,0.13043478260869565,5.501258210544727,0.7175554187667036
Hot in Herre,Nelly,1,RnB / Hip Hop,uh,38,Hot in Herre - Nelly,0.12258064516129032,2.2823823856765264,0.27977590534099356
Pretty Wings,Maxwell,1,RnB / Hip Hop,pretty,38,Pretty Wings - Maxwell,0.2389937106918239,3.1986731175506815,0.764462757653622
Real Love,Mary J. Blige,1,RnB / Hip Hop,real,38,Real Love - Mary J. Blige,0.2389937106918239,1.917739272088617,0.4583276247758959
Running Back to You,Vanessa Williams,1,RnB / Hip Hop,running,38,Running Back to You - Vanessa Williams,0.37254901960784315,3.361192047048456,1.2522088018415818
Are You Ready,Disturbed,0,Rock / Country,ready,37,Are You Ready - Disturbed,0.3978494623655914,2.3877429013343527,0.9499622295631296
Exhale (Shoop Shoop),Whitney Houston,1,RnB / Hip Hop,shoo,37,Exhale (Shoop Shoop) - Whitney Houston,0.23717948717948717,5.095793102436563,1.208617594808672
Fancy,Drake,1,RnB / Hip Hop,fancy,37,Fancy - Drake,0.10850439882697947,5.095793102436563,0.5529159671265479
Real Love,Jody Watley,1,RnB / Hip Hop,love,37,Real Love - Jody Watley,0.296,0.6729444732424258,0.19919156407975802
Tha Crossroads,Bone Thugs N Harmony,1,RnB / Hip Hop,crossroads,37,Tha Crossroads - Bone Thugs N Harmony,0.1267123287671233,5.095793102436563,0.6456998109251809
You Don't Know My Name,Alicia Keys,1,RnB / Hip Hop,ooh,37,You Don't Know My Name - Alicia Keys,0.17050691244239632,1.4494732627414222,0.2471452106978462
Fancy,Drake,1,RnB / Hip Hop,huh,36,Fancy - Drake,0.10557184750733138,2.760418186619526,0.2914224478542608
Just a Lil Bit,50 Cent,1,RnB / Hip Hop,lil,36,Just a Lil Bit - 50 Cent,0.13432835820895522,3.5553480614894135,0.4775840679612645
Miss You Much,Janet Jackson,1,RnB / Hip Hop,miss,36,Miss You Much - Janet Jackson,0.2975206611570248,2.9363088530831902,0.873612551330536
Freak Me,Silk,1,RnB / Hip Hop,baby,35,Freak Me - Silk,0.2,0.8616865978393031,0.17233731956786064
Just a Lil Bit,50 Cent,1,RnB / Hip Hop,bit,35,Just a Lil Bit - 50 Cent,0.13059701492537312,3.2499664119382317,0.4244359120068586
Just Kickin' It,Xscape,1,RnB / Hip Hop,kick,35,Just Kickin' It - Xscape,0.28,3.2499664119382317,0.909990595342705
My Projects,Coo Coo Cal,1,RnB / Hip Hop,projects,35,My Projects - Coo Coo Cal,0.11824324324324324,5.501258210544727,0.6504866127333293
Hold On,En Vogue,1,RnB / Hip Hop,hold,34,Hold On - En Vogue,0.20606060606060606,1.8505999692509885,0.3813357512395976
Hot in Herre,Nelly,1,RnB / Hip Hop,ah,34,Hot in Herre - Nelly,0.10967741935483871,2.3877429013343527,0.26188147950118706
Uhh Ahh,Boyz II Men,1,RnB / Hip Hop,uh,34,Uhh Ahh - Boyz II Men,0.22972972972972974,2.2823823856765264,0.5243310886013642
Burn,Usher,1,RnB / Hip Hop,burn,33,Burn - Usher,0.19760479041916168,3.2499664119382317,0.6422089317003692
Pretty Wings,Maxwell,1,RnB / Hip Hop,wings,33,Pretty Wings - Maxwell,0.20754716981132076,3.997180813768453,0.8296035651217544
Real Love,Jody Watley,1,RnB / Hip Hop,real,33,Real Love - Jody Watley,0.264,1.917739272088617,0.5062831678313949
Work It,Missy Elliott,1,RnB / Hip Hop,ti,33,Work It - Missy Elliott,0.0825,5.501258210544727,0.45385380236994005
You Remind Me of Something,R. Kelly,1,RnB / Hip Hop,wanna,33,You Remind Me of Something - R. Kelly,0.1864406779661017,1.1639674697122369,0.21701088418363737
Bitch Better Have My Money,Rihanna,1,RnB / Hip Hop,bitch,32,Bitch Better Have My Money - Rihanna,0.20125786163522014,3.1986731175506815,0.6437581117083133
Cut the Cord,Shinedown,0,Rock / Country,la,32,Cut the Cord - Shinedown,0.17679558011049723,4.114963849424837,0.7275074208927887
He Wasn't Man Enough,Toni Braxton,1,RnB / Hip Hop,yeah,32,He Wasn't Man Enough - Toni Braxton,0.18285714285714286,0.5886033248086749,0.10763032225072913
iSpy,Kyle,1,RnB / Hip Hop,spy,32,iSpy - Kyle,0.06451612903225806,6.194405391104672,0.399639057490624
Know Your Enemy,Green Day,0,Rock / Country,enemy,32,Know Your Enemy - Green Day,0.24427480916030533,4.584967478670572,1.1199920558584604
Not Gon' Cry,Mary J. Blige,1,RnB / Hip Hop,gon,32,Not Gon' Cry - Mary J. Blige,0.15763546798029557,2.8622008809294686,0.451184375318931
